1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
d1111,0,0,d1111,0,0,0,0,0,0,0,0,0,0,0,d1111,0,d1111,0,0,d1111,0,0,0,0,0,0,0,0,0,0,0,0
d1112,0,0,d1112,0,0,0,0,0,0,0,0,0,0,0,d1112,0,d1112,0,0,d1112,0,0,0,0,0,0,0,0,0,0,0,0
d1113,0,0,d1113,0,0,0,0,0,0,0,0,0,0,0,d1113,0,d1113,0,0,d1113,0,0,0,0,0,0,0,0,0,0,0,0
d1114,0,d1114,0,0,d1114,0,0,d1114,d1114,d1114,d1114,0,0,0,d1114,0,d1114,0,0,0,0,d1114,d1114,0,0,0,d1114,0,0,d1114,0,0
d1115,0,0,d1115,0,0,d1115,0,d1115,d1115,0,0,0,d1115,0,d1115,0,0,d1115,0,0,0,d1115,0,0,d1115,0,0,0,0,0,0,0
d1116,0,d1116,0,0,0,0,0,0,0,0,0,0,0,0,d1116,0,0,d1116,0,d1116,d1116,0,0,0,0,0,0,0,0,0,0,0
d1122,0,0,d1122,0,0,0,0,0,0,0,0,0,0,0,d1122,0,d1122,0,0,d1122,0,0,0,0,0,0,0,0,0,0,0,0
d1123,0,0,d1123,0,0,0,0,0,0,0,0,0,0,0,d1123,0,d1123,0,0,d1123,0,0,0,0,0,0,0,0,0,0,0,0
d1124,0,d1124,0,0,d1124,0,0,d1124,d1124,d1124,d1124,0,0,0,d1124,0,d1124,0,0,0,0,d1124,d1124,0,0,0,d1124,d1124,0,d1124,0,0
d1125,0,0,d1125,0,0,d1125,0,d1125,d1125,0,0,0,d1125,0,d1125,0,0,d1125,0,0,0,d1125,0,0,d1125,0,0,0,0,0,0,0
d1126,0,d1126,0,0,0,0,0,0,0,0,0,0,0,0,d1126,0,0,d1126,0,d1126,d1126,0,0,0,0,0,0,0,0,0,0,0
d1133,0,0,d1133,0,0,0,0,0,0,0,0,0,0,0,d1133,0,d1133,0,0,d1133,0,0,0,0,0,0,0,0,0,0,0,0
d1134,0,d1134,0,0,d1134,0,0,d1134,d1134,d1134,d1134,0,0,0,d1134,0,d1134,0,0,0,0,d1134,d1134,0,0,0,d1134,-d1124,0,d1124,0,0
d1135,0,0,d1135,0,0,d1135,0,d1135,d1135,0,0,0,d1135,0,d1135,0,0,d1135,0,0,0,d1135,0,0,d1135,0,0,0,0,0,0,0
d1136,0,d1136,0,0,0,0,0,0,0,0,0,0,0,0,d1136,0,0,d1136,0,d1136,d1136,0,0,0,0,0,0,0,0,0,0,0
d1144,0,0,d1144,0,0,0,0,0,0,0,0,0,0,0,d1144,0,d1144,0,0,d1144,0,0,0,0,0,0,0,0,0,0,0,0
d1145,0,d1145,0,0,0,0,0,0,0,0,0,0,0,0,d1145,0,0,d1145,0,d1145,d1145,0,0,0,0,0,0,0,0,0,0,0
d1146,0,0,d1146,0,0,d1146,0,d1146,d1146,0,0,0,d1146,0,d1146,0,0,d1146,0,0,0,d1146,0,0,d1146,0,0,0,0,0,0,0
d1155,0,0,d1155,0,0,0,0,0,0,0,0,0,0,0,d1155,0,d1155,0,0,d1155,0,0,0,0,0,0,0,0,0,0,0,0
d1156,0,d1156,0,0,d1156,0,0,d1156,d1156,d1156,d1156,0,0,0,d1156,0,d1156,0,0,0,0,d1156,d1156,0,0,0,d1156,0,0,d1156,0,0
d1166,0,0,d1166,0,0,0,0,0,0,0,0,0,0,0,d1111/12 + d1112/2 + (3*d1122)/4,0,d1111/12 + d1112/2 + (3*d1122)/4,0,0,d1111/12 + d1112/2 + (3*d1122)/4,0,0,0,0,0,0,0,0,0,0,0,0
d1222,0,0,d1222,0,0,0,0,0,0,0,0,0,0,0,- d1111 - 3*d1112 - 3*d1122,0,- d1111 - 3*d1112 - 3*d1122,0,0,- d1111 - 3*d1112 - 3*d1122,0,0,0,0,0,0,0,0,0,0,0,0
d1223,0,0,d1223,0,0,0,0,0,0,0,0,0,0,0,- d1113 - 2*d1123,0,- d1113 - 2*d1123,0,0,- d1113 - 2*d1123,0,0,0,0,0,0,0,0,0,0,0,0
d1224,0,d1224,0,0,d1224,0,0,d1224,d1224,d1224,d1224,0,0,0,d1224,0,d1224,0,0,0,0,d1224,d1224,0,0,0,d1224,d1224,0,d1224,0,0
d1225,0,0,d1225,0,0,d1225,0,d1225,d1225,0,0,0,d1225,0,d1225,0,0,d1225,0,0,0,d1225,0,0,d1225,0,0,0,0,0,0,0
d1226,0,d1226,0,0,0,0,0,0,0,0,0,0,0,0,d1226,0,0,d1226,0,d1226,d1226,0,0,0,0,0,0,0,0,0,0,0
d1233,0,0,d1233,0,0,0,0,0,0,0,0,0,0,0,-d1133,0,-d1133,0,0,-d1133,0,0,0,0,0,0,0,0,0,0,0,0
d1234,0,d1234,0,0,d1234,0,0,d1234,d1234,d1234,d1234,0,0,0,d1234,0,d1234,0,0,0,0,d1234,d1234,0,0,0,d1234,0,0,d1234,0,0
d1235,0,0,d1235,0,0,d1235,0,d1235,d1235,0,0,0,d1235,0,d1235,0,0,d1235,0,0,0,d1235,0,0,d1235,0,0,0,0,0,0,0
d1236,0,d1236,0,0,0,0,0,0,0,0,0,0,0,0,d1236,0,0,d1236,0,d1236,d1236,0,0,0,0,0,0,0,0,0,0,0
d1244,0,0,d1244,0,0,0,0,0,0,0,0,0,0,0,d1244,0,d1244,0,0,d1244,0,0,0,0,0,0,0,0,0,0,0,0
d1245,0,d1245,0,0,0,0,0,0,0,0,0,0,0,0,d1245,0,0,d1245,0,d1245,d1245,0,0,0,0,0,0,0,0,0,0,0
d1246,0,0,d1246,0,0,d1246,0,d1246,d1246,0,0,0,d1246,0,d1115/2 - d1146 - d1225/2,0,0,d1115/2 - d1146 - d1225/2,0,0,0,d1115/2 - d1146 - d1225/2,0,0,d1115/2 - d1146 - d1225/2,0,0,0,0,0,0,0
d1255,0,0,d1255,0,0,0,0,0,0,0,0,0,0,0,- d1144 - d1155 - d1244,0,- d1144 - d1155 - d1244,0,0,- d1144 - d1155 - d1244,0,0,0,0,0,0,0,0,0,0,0,0
d1256,0,d1256,0,0,d1256,0,0,d1256,d1256,d1256,d1256,0,0,0,d1224/2 - d1156 - d1114/2,0,d1224/2 - d1156 - d1114/2,0,0,0,0,d1224/2 - d1156 - d1114/2,d1224/2 - d1156 - d1114/2,0,0,0,d1256,d1256,0,d1256,0,0
d1266,0,0,d1266,0,0,0,0,0,0,0,0,0,0,0,d1112/2 - d1111/12 + d1122/4,0,d1112/2 - d1111/12 + d1122/4,0,0,d1112/2 - d1111/12 + d1122/4,0,0,0,0,0,0,0,0,0,0,0,0
d1333,0,0,d1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1334,0,d1334,0,0,d1334,0,0,d1334,d1334,d1334,d1334,0,0,0,d1334,0,d1334,0,0,0,0,d1334,d1334,0,0,0,d1334,-d1224,0,d1224,0,0
d1335,0,0,d1335,0,0,d1335,0,d1335,d1335,0,0,0,d1335,0,d1335,0,0,d1335,0,0,0,d1335,0,0,d1335,0,0,0,0,0,0,0
d1336,0,d1336,0,0,0,0,0,0,0,0,0,0,0,0,d1336,0,0,d1336,0,d1336,d1336,0,0,0,0,0,0,0,0,0,0,0
d1344,0,0,d1344,0,0,0,0,0,0,0,0,0,0,0,d1344,0,d1344,0,0,d1344,0,0,0,0,0,0,0,0,0,0,0,0
d1345,0,d1345,0,0,0,0,0,0,0,0,0,0,0,0,d1345,0,0,d1345,0,d1345,d1345,0,0,0,0,0,0,0,0,0,0,0
d1346,0,0,d1346,0,0,d1346,0,d1346,d1346,0,0,0,d1346,0,d1135/2 - d1235/2,0,0,d1135/2 - d1235/2,0,0,0,d1135/2 - d1235/2,0,0,d1135/2 - d1235/2,0,0,0,0,0,0,0
d1355,0,0,d1355,0,0,0,0,0,0,0,0,0,0,0,-d1344,0,-d1344,0,0,-d1344,0,0,0,0,0,0,0,0,0,0,0,0
d1356,0,d1356,0,0,d1356,0,0,d1356,d1356,d1356,d1356,0,0,0,d1234/2 - d1134/2,0,d1234/2 - d1134/2,0,0,0,0,d1234/2 - d1134/2,d1234/2 - d1134/2,0,0,0,d1356,-d1256,0,d1256,0,0
d1366,0,0,d1366,0,0,0,0,0,0,0,0,0,0,0,d1123,0,d1123,0,0,d1123,0,0,0,0,0,0,0,0,0,0,0,0
