1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
 d11111,0,0, d11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d11112,0,0, d11112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d11113,0,0, d11113,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d11113,0,                                                                                                 d11113,0,0,                                                                    d11113,0,0,0,0,0,0,0,0,0,0,0,0
 d11114,0, d11114,0,0, d11114,0,0,  d11114,  d11114, d11114,  d11114,0,0,0,                                                                                                 d11114,0,                                                                                                 d11114,0,0,0,0,                                                                                                 d11114,                                                                                                 d11114,0,0,0, d11114,0,0, d11114,0,0
 d11115,0,0, d11115,0,0, d11115,0,  d11115,  d11115,0,0,0, d11115,0,                                                                                                 d11115,0,0,                                                                                                 d11115,0,0,0,                                                                                                 d11115,0,0,                                                                                                 d11115,0,0,0,0,0,0,0
 d11116,0, d11116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d11122,0,0, d11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d11123,0,0, d11123,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d11123,0,                                                                                                 d11123,0,0,                                                                    d11123,0,0,0,0,0,0,0,0,0,0,0,0
 d11124,0, d11124,0,0, d11124,0,0,  d11124,  d11124, d11124,  d11124,0,0,0,                                                                                                 d11124,0,                                                                                                 d11124,0,0,0,0,                                                                                                 d11124,                                                                                                 d11124,0,0,0, d11124,  d11124,0, d11124,0,0
 d11125,0,0, d11125,0,0, d11125,0,  d11125,  d11125,0,0,0, d11125,0,                                                                                                 d11125,0,0,                                                                                                 d11125,0,0,0,                                                                                                 d11125,0,0,                                                                                                 d11125,0,0,0,0,0,0,0
 d11126,0, d11126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d11133,0,0, d11133,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d11133,0,                                                                                                 d11133,0,0,                                                                    d11133,0,0,0,0,0,0,0,0,0,0,0,0
 d11134,0, d11134,0,0, d11134,0,0,  d11134,  d11134, d11134,  d11134,0,0,0,                                                                                                 d11134,0,                                                                                                 d11134,0,0,0,0,                                                                                                 d11134,                                                                                                 d11134,0,0,0, d11134, -d11124,0, d11124,0,0
 d11135,0,0, d11135,0,0, d11135,0,  d11135,  d11135,0,0,0, d11135,0,                                                                                                 d11135,0,0,                                                                                                 d11135,0,0,0,                                                                                                 d11135,0,0,                                                                                                 d11135,0,0,0,0,0,0,0
 d11136,0, d11136,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d11136,0,0,                                                                                                 d11136,0,                                                                    d11136,                                                                  d11136,0,0,0,0,0,0,0,0,0,0,0
 d11144,0,0, d11144,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d11144,0,                                                                                                 d11144,0,0,                                                                    d11144,0,0,0,0,0,0,0,0,0,0,0,0
 d11145,0, d11145,0,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d11145,0,0,                                                                                                 d11145,0,                                                                    d11145,                                                                  d11145,0,0,0,0,0,0,0,0,0,0,0
 d11146,0,0, d11146,0,0, d11146,0,  d11146,  d11146,0,0,0, d11146,0,                                                                                                 d11146,0,0,                                                                                                 d11146,0,0,0,                                                                                                 d11146,0,0,                                                                                                 d11146,0,0,0,0,0,0,0
 d11155,0,0, d11155,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d11155,0,                                                                                                 d11155,0,0,                                                                    d11155,0,0,0,0,0,0,0,0,0,0,0,0
 d11156,0, d11156,0,0, d11156,0,0,  d11156,  d11156, d11156,  d11156,0,0,0,                                                                                                 d11156,0,                                                                                                 d11156,0,0,0,0,                                                                                                 d11156,                                                                                                 d11156,0,0,0, d11156,0,0, d11156,0,0
 d11166,0,0, d11166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d11222,0,0, d11222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d11223,0,0, d11223,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d11223,0,                                                                                                 d11223,0,0,                                                                    d11223,0,0,0,0,0,0,0,0,0,0,0,0
 d11224,0, d11224,0,0, d11224,0,0,  d11224,  d11224, d11224,  d11224,0,0,0,                                                                                                 d11224,0,                                                                                                 d11224,0,0,0,0,                                                                                                 d11224,                                                                                                 d11224,0,0,0, d11224,  d11224,0, d11224,0,0
 d11225,0,0, d11225,0,0, d11225,0,  d11225,  d11225,0,0,0, d11225,0,                                                                                                 d11225,0,0,                                                                                                 d11225,0,0,0,                                                                                                 d11225,0,0,                                                                                                 d11225,0,0,0,0,0,0,0
 d11226,0, d11226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 d11233,0,0, d11233,0,0,0,0,0,0,0,0,0,0,0,                                                                                                 d11233,0,                                                                                                 d11233,0,0,                                                                    d11233,0,0,0,0,0,0,0,0,0,0,0,0
 d11234,0, d11234,0,0, d11234,0,0,  d11234,  d11234, d11234,  d11234,0,0,0,                                                                                                 d11234,0,                                                                                                 d11234,0,0,0,0,                                                                                                 d11234,                                                                                                 d11234,0,0,0, d11234,0,0, d11234,0,0
